InvoiceID,CustomerID,TransactionDate,TotalAmount,PaymentMethod,CashierID
INV00054,CUST00100,2024-01-28 21:34:00,6899.55,UPI,CASH03
INV00055,CUST03701,2024-01-14 17:35:00,8041.89,Card,CASH07
INV00056,CUST01833,2024-01-06 17:56:00,10506.35,Card,CASH05
INV00057,CUST03198,2024-01-18 21:28:00,2697.64,Cash,CASH08
INV00058,CUST01856,2024-01-21 19:49:00,5677.01,Card,CASH01
INV00059,CUST03753,2024-05-31 20:45:00,278.72,Cash,CASH02
INV00060,CUST01895,2024-03-11 15:32:00,5835.0,Cash,CASH08
INV00061,CUST01458,2024-04-13 14:47:00,5758.9,UPI,CASH01
INV00062,CUST00856,2024-05-16 20:15:00,3554.29,Cash,CASH01
INV00063,CUST03520,2024-01-20 16:11:00,2842.03,UPI,CASH08
INV00064,CUST00596,2024-03-28 14:27:00,7772.48,UPI,CASH03
INV00065,CUST03740,2024-01-14 21:59:00,5239.9,Cash,CASH08
INV00066,CUST03067,2024-02-26 20:08:00,4315.12,Card,CASH01
INV00067,CUST00853,2024-02-22 16:40:00,5844.77,Cash,CASH08
INV00068,CUST02955,2024-02-23 09:24:00,3982.54,Card,CASH02
INV00069,CUST01924,2024-06-01 09:23:00,342.82,Cash,CASH08
INV00070,CUST00325,2024-01-16 20:04:00,1445.94,Card,CASH08
INV00071,CUST02101,2024-02-18 12:24:00,4996.56,Card,CASH06
INV00072,CUST01374,2024-05-31 20:12:00,3931.02,Cash,CASH01
INV00073,CUST02122,2024-02-09 13:02:00,270.66,Cash,CASH02
INV00074,CUST02823,2024-06-12 11:57:00,10610.47,Cash,CASH08
INV00075,CUST01894,2024-03-27 10:54:00,308.28,Cash,CASH03
INV00076,CUST02928,2024-01-23 21:07:00,1015.29,Cash,CASH01
INV00077,CUST02317,2024-04-11 11:47:00,2125.63,UPI,CASH07
INV00078,CUST00571,2024-02-07 16:15:00,5723.54,Card,CASH05
INV00079,CUST02047,2024-03-03 08:19:00,5978.7,Cash,CASH03
INV00080,CUST02991,2024-03-26 14:18:00,1951.98,UPI,CASH08
INV00081,CUST00008,2024-04-03 14:15:00,3091.75,Cash,CASH05
INV00082,CUST01235,2024-03-31 12:29:00,4225.94,Cash,CASH06
INV00083,CUST03168,2024-04-04 17:23:00,6109.28,Cash,CASH05
INV00084,CUST01833,2024-05-11 18:03:00,1198.88,UPI,CASH02
INV00085,CUST03962,2024-03-09 11:13:00,5656.92,Cash,CASH04
INV00086,CUST01952,2024-01-28 13:57:00,6708.38,Cash,CASH02
INV00087,CUST00326,2024-01-13 16:45:00,2368.92,Card,CASH05
INV00088,CUST01332,2024-04-26 15:26:00,2309.34,UPI,CASH03
INV00089,CUST03310,2024-05-31 15:26:00,1026.75,UPI,CASH08
INV00090,CUST00656,2024-02-22 20:03:00,912.45,Card,CASH06
INV00091,CUST00113,2024-02-03 16:57:00,6131.96,Cash,CASH01
INV00092,CUST02055,2024-03-12 14:44:00,6913.19,Card,CASH04
INV00093,CUST00271,2024-04-29 15:06:00,4560.53,Cash,CASH08
INV00094,CUST01566,2024-04-16 19:29:00,10640.07,Card,CASH04
INV00095,CUST03710,2024-04-16 17:54:00,2044.01,UPI,CASH04
INV00096,CUST03915,2024-03-25 19:05:00,6434.9,Card,CASH03
INV00097,CUST03308,2024-06-28 14:24:00,2460.58,Card,CASH06
INV00098,CUST02412,2024-05-28 14:22:00,6227.83,Cash,CASH07
INV00099,CUST01485,2024-04-07 22:17:00,6350.73,UPI,CASH05
INV00100,CUST01993,2024-01-13 18:17:00,7070.29,Cash,CASH04
INV00101,CUST02647,2024-06-28 13:38:00,2161.46,Card,CASH04
INV00102,CUST00457,2024-06-15 11:35:00,3779.6,Card,CASH03
INV00103,CUST03359,2024-04-03 13:13:00,2497.44,Cash,CASH06
INV00104,CUST03550,2024-05-17 08:13:00,1369.47,UPI,CASH05
INV00105,CUST01450,2024-04-28 15:08:00,7899.88,Cash,CASH01
INV00106,CUST00888,2024-02-24 12:23:00,15276.66,Cash,CASH01
INV00107,CUST02814,2024-06-26 19:12:00,1698.57,Cash,CASH06
INV00108,CUST02872,2024-04-20 08:29:00,5424.32,UPI,CASH04
INV00109,CUST00927,2024-03-02 12:05:00,5352.19,Cash,CASH01
INV00110,CUST00805,2024-01-28 15:17:00,1931.29,Card,CASH05
INV00111,CUST01051,2024-06-02 08:28:00,4441.02,Cash,CASH06
INV00112,CUST03395,2024-01-23 16:22:00,4680.93,UPI,CASH07
INV00113,CUST00605,2024-05-04 20:15:00,3439.75,UPI,CASH07
INV00114,CUST03931,2024-02-28 14:37:00,3187.1,Cash,CASH05
INV00115,CUST02117,2024-03-21 12:10:00,2900.45,Cash,CASH02
INV00116,CUST02355,2024-02-20 11:09:00,2257.43,Cash,CASH03
INV00117,CUST03384,2024-04-16 15:41:00,5543.54,Card,CASH02
INV00118,CUST01872,2024-05-21 21:46:00,2343.44,Cash,CASH03
INV00119,CUST03278,2024-04-16 12:28:00,8112.62,Cash,CASH03
INV00120,CUST03008,2024-03-28 14:10:00,1818.84,Cash,CASH02
INV00121,CUST02763,2024-04-13 20:16:00,841.75,Card,CASH03
INV00122,CUST01117,2024-05-05 18:56:00,7604.16,Card,CASH02
INV00123,CUST01157,2024-05-18 10:04:00,680.08,Cash,CASH05
INV00124,CUST02221,2024-03-14 12:36:00,4891.44,Card,CASH04
INV00125,CUST02485,2024-03-23 10:29:00,7410.73,Card,CASH03
INV00126,CUST02777,2024-01-06 09:03:00,2748.3,Card,CASH07
INV00127,CUST02549,2024-03-07 12:25:00,295.29,Cash,CASH07
INV00128,CUST02560,2024-01-05 11:54:00,2168.44,UPI,CASH08
INV00129,CUST03713,2024-01-26 17:12:00,4717.88,Card,CASH03
INV00130,CUST02269,2024-04-28 11:17:00,911.73,UPI,CASH02
INV00131,CUST00202,2024-01-03 10:12:00,2460.48,Card,CASH05
INV00132,CUST02387,2024-05-10 11:59:00,5389.09,Card,CASH04
INV00133,CUST03708,2024-04-08 16:22:00,4815.45,Cash,CASH07
INV00134,CUST02997,2024-02-10 20:37:00,5755.63,Cash,CASH07
INV00135,CUST03393,2024-06-17 13:16:00,3434.44,Cash,CASH06
INV00136,CUST03668,2024-04-17 13:29:00,5175.92,UPI,CASH01
INV00137,CUST02862,2024-05-29 19:20:00,11087.0,Card,CASH08
INV00138,CUST03120,2024-03-23 20:39:00,1908.05,UPI,CASH01
INV00139,CUST01367,2024-04-24 12:23:00,2567.79,Cash,CASH04
INV00140,CUST03573,2024-04-05 19:29:00,4304.5,Cash,CASH08
INV00141,CUST01242,2024-01-23 16:29:00,1970.28,UPI,CASH04
INV00142,CUST01755,2024-01-26 11:20:00,3748.16,Cash,CASH03
INV00143,CUST03121,2024-05-28 14:20:00,4574.84,Cash,CASH01
INV00144,CUST01619,2024-01-04 21:56:00,3705.05,Cash,CASH02
INV00145,CUST02026,2024-06-14 20:05:00,918.68,Cash,CASH02
INV00146,CUST01615,2024-05-25 20:09:00,3345.99,Cash,CASH02
INV00147,CUST00652,2024-01-16 15:28:00,2925.68,Cash,CASH06
INV00148,CUST02922,2024-01-12 18:31:00,3869.4,Card,CASH06
INV00149,CUST01113,2024-05-16 22:02:00,749.3,Cash,CASH08
INV00150,CUST03502,2024-01-24 15:05:00,11437.05,Card,CASH08
INV00151,CUST00073,2024-05-25 20:24:00,2104.74,UPI,CASH01
INV00152,CUST03579,2024-01-09 22:48:00,5627.98,Cash,CASH01
INV00153,CUST03046,2024-04-26 13:08:00,3515.65,Card,CASH06
INV00154,CUST00345,2024-02-21 19:59:00,2132.86,UPI,CASH06
INV00155,CUST00194,2024-01-19 17:22:00,2439.95,Cash,CASH03
INV00156,CUST02414,2024-05-06 12:02:00,2546.42,Cash,CASH05
INV00157,CUST01111,2024-05-02 13:50:00,8381.33,Cash,CASH05
INV00158,CUST00662,2024-02-09 15:54:00,1676.68,Card,CASH06
INV00159,CUST01297,2024-02-03 11:48:00,2747.45,Cash,CASH04
INV00160,CUST03484,2024-03-07 21:46:00,4199.51,Cash,CASH05
INV00161,CUST03335,2024-03-29 11:10:00,5630.62,Cash,CASH02
INV00162,CUST01693,2024-01-05 22:02:00,6148.23,Card,CASH01
INV00163,CUST02115,2024-03-20 17:24:00,2788.24,Cash,CASH04
INV00164,CUST01730,2024-06-28 20:45:00,1457.64,Cash,CASH05
INV00165,CUST00743,2024-04-21 08:01:00,1609.86,Card,CASH05
INV00166,CUST02892,2024-05-09 08:50:00,4099.67,Cash,CASH03
INV00167,CUST00678,2024-06-14 18:58:00,10120.25,Cash,CASH05
INV00168,CUST03870,2024-01-26 12:14:00,1975.28,Cash,CASH08
INV00169,CUST01167,2024-01-28 14:57:00,2131.18,Cash,CASH02
INV00170,CUST03943,2024-05-17 14:53:00,2488.8,Card,CASH02
INV00171,CUST01399,2024-06-14 14:00:00,3702.3,UPI,CASH02
INV00172,CUST01175,2024-02-24 11:13:00,4244.38,Card,CASH05
INV00173,CUST01360,2024-01-26 10:16:00,5161.05,UPI,CASH05
INV00174,CUST02302,2024-03-31 12:59:00,1191.02,UPI,CASH07
INV00175,CUST03685,2024-05-28 08:33:00,245.82,Cash,CASH01
INV00176,CUST03369,2024-02-25 19:32:00,2998.57,Card,CASH03
INV00177,CUST02771,2024-01-18 18:23:00,7232.83,UPI,CASH08
INV00178,CUST02439,2024-04-10 21:42:00,3330.24,Card,CASH03
INV00179,CUST00475,2024-02-27 15:50:00,9332.18,UPI,CASH06
INV00180,CUST03774,2024-04-06 12:01:00,1189.57,UPI,CASH07
INV00181,CUST00791,2024-03-13 08:33:00,4567.26,Card,CASH05
INV00182,CUST03475,2024-05-21 22:49:00,582.36,Card,CASH07
INV00183,CUST00234,2024-04-15 21:16:00,5318.09,Card,CASH03
INV00184,CUST01813,2024-06-14 15:16:00,1064.73,Card,CASH03
INV00185,CUST02132,2024-01-13 10:01:00,142.25,Cash,CASH06
INV00186,CUST02471,2024-01-26 09:07:00,5384.68,Cash,CASH03
INV00187,CUST01842,2024-01-30 11:30:00,2970.93,Cash,CASH01
INV00188,CUST03533,2024-02-22 11:37:00,3399.5,Cash,CASH06
INV00189,CUST03869,2024-05-24 14:18:00,2125.72,Cash,CASH07
INV00190,CUST02677,2024-03-24 11:41:00,3121.52,Cash,CASH02
INV00191,CUST03522,2024-06-22 09:22:00,891.35,Cash,CASH02
INV00192,CUST03713,2024-02-11 21:05:00,4042.6,UPI,CASH03
INV00193,CUST03605,2024-01-18 10:24:00,395.6,Card,CASH05
INV00194,CUST03061,2024-05-18 11:23:00,3769.04,Card,CASH01
INV00195,CUST03674,2024-01-15 13:36:00,6799.72,Card,CASH03
INV00196,CUST03712,2024-01-16 14:00:00,10449.95,Cash,CASH06
INV00197,CUST02482,2024-03-24 12:41:00,5238.48,Card,CASH05
INV00198,CUST03024,2024-04-01 11:45:00,1858.16,Card,CASH06
INV00199,CUST03331,2024-06-12 21:50:00,6412.9,Card,CASH03
INV00200,CUST01597,2024-06-11 13:42:00,8160.56,Cash,CASH01
INV00201,CUST02060,2024-04-26 12:18:00,8660.15,Cash,CASH02
INV00202,CUST02517,2024-02-25 11:48:00,4759.13,UPI,CASH07
INV00203,CUST01955,2024-04-10 08:59:00,5713.3,Cash,CASH06
INV00204,CUST00983,2024-06-12 19:47:00,4364.75,Cash,CASH03
INV00205,CUST02789,2024-05-01 15:12:00,5192.66,Card,CASH08
INV00206,CUST03936,2024-02-09 17:58:00,2679.12,Cash,CASH04
INV00207,CUST03073,2024-05-27 18:53:00,2399.12,UPI,CASH06
INV00208,CUST00912,2024-04-18 11:31:00,1542.25,Card,CASH02
INV00209,CUST01570,2024-01-30 18:51:00,2721.63,Card,CASH05
INV00210,CUST03999,2024-03-23 16:07:00,3406.17,Cash,CASH03
INV00211,CUST02716,2024-03-01 18:09:00,3626.75,Cash,CASH08
INV00212,CUST02358,2024-05-06 19:32:00,5392.72,Cash,CASH02
INV00213,CUST01247,2024-02-04 18:47:00,1574.7,UPI,CASH08
INV00214,CUST03404,2024-06-19 12:33:00,8663.64,Cash,CASH02
INV00215,CUST02711,2024-04-23 21:35:00,2664.43,Cash,CASH06
INV00216,CUST03070,2024-02-09 18:10:00,707.8,UPI,CASH06
INV00217,CUST00252,2024-04-24 08:30:00,257.92,Cash,CASH04
INV00218,CUST02779,2024-06-24 12:26:00,11068.76,UPI,CASH05
INV00219,CUST01677,2024-04-08 13:57:00,2836.88,Cash,CASH04
INV00220,CUST01728,2024-05-20 20:35:00,2688.86,Card,CASH08
INV00221,CUST02756,2024-04-13 14:21:00,3464.0,Card,CASH01
INV00222,CUST03009,2024-05-19 18:26:00,3506.25,UPI,CASH03
INV00223,CUST02538,2024-01-19 15:56:00,5046.19,Card,CASH07
INV00224,CUST00573,2024-05-18 16:42:00,4701.75,Cash,CASH02
INV00225,CUST00336,2024-01-08 21:44:00,13058.0,Card,CASH05
INV00226,CUST00380,2024-05-30 20:56:00,1549.52,Cash,CASH03
INV00227,CUST03443,2024-05-14 19:40:00,5354.09,UPI,CASH07
INV00228,CUST00098,2024-06-03 11:19:00,2278.15,Card,CASH06
INV00229,CUST02865,2024-02-22 13:20:00,505.1,Card,CASH02
INV00230,CUST01961,2024-06-19 14:25:00,454.45,Cash,CASH07
INV00231,CUST00936,2024-04-03 21:57:00,9404.22,UPI,CASH03
INV00232,CUST02096,2024-02-12 09:58:00,7828.22,Cash,CASH07
INV00233,CUST03679,2024-02-12 12:06:00,5622.34,Card,CASH05
INV00234,CUST01785,2024-04-03 21:24:00,1553.68,Cash,CASH04
INV00235,CUST02369,2024-05-19 16:11:00,1303.72,Cash,CASH05
INV00236,CUST01399,2024-01-29 22:06:00,8713.69,UPI,CASH02
INV00237,CUST03412,2024-06-08 09:08:00,5187.32,UPI,CASH01
INV00238,CUST01797,2024-06-10 18:28:00,11436.32,Cash,CASH06
INV00239,CUST00921,2024-05-28 09:23:00,5587.23,Card,CASH05
INV00240,CUST02206,2024-01-22 22:48:00,4547.45,Cash,CASH06
INV00241,CUST02270,2024-04-07 18:46:00,4008.55,Card,CASH07
INV00242,CUST02947,2024-05-25 12:33:00,2318.21,UPI,CASH05
INV00243,CUST03880,2024-01-25 14:12:00,3642.18,UPI,CASH02
INV00244,CUST01634,2024-04-12 14:43:00,3176.2,Cash,CASH05
INV00245,CUST03486,2024-05-01 08:09:00,1666.76,UPI,CASH04
INV00246,CUST01631,2024-05-23 15:39:00,8019.09,UPI,CASH02
INV00247,CUST02611,2024-01-08 15:01:00,2986.49,Card,CASH04
INV00248,CUST00625,2024-02-28 16:46:00,595.28,Cash,CASH01
INV00249,CUST02809,2024-02-17 22:36:00,5545.48,Card,CASH06
INV00250,CUST00443,2024-03-26 21:04:00,953.89,Cash,CASH02
INV00251,CUST00347,2024-06-17 13:45:00,6619.81,Cash,CASH08
INV00252,CUST03548,2024-04-13 12:59:00,1415.04,Cash,CASH04
INV00253,CUST01431,2024-06-29 19:17:00,9006.48,Cash,CASH03
INV00254,CUST01690,2024-06-08 11:54:00,1093.66,Cash,CASH04
INV00255,CUST03134,2024-06-06 17:07:00,3549.48,Cash,CASH02
INV00256,CUST00379,2024-05-30 09:47:00,3050.01,Cash,CASH04
INV00257,CUST01149,2024-02-15 18:41:00,1922.99,Card,CASH02
INV00258,CUST00045,2024-04-15 10:10:00,572.23,Card,CASH06
INV00259,CUST02423,2024-06-07 20:40:00,646.83,Cash,CASH07
INV00260,CUST02036,2024-01-25 09:32:00,497.84,Cash,CASH04
INV00261,CUST00946,2024-01-24 22:48:00,10493.54,Card,CASH07
INV00262,CUST03934,2024-05-20 08:07:00,608.16,Cash,CASH01
INV00263,CUST00060,2024-01-04 13:26:00,3266.24,Card,CASH01
INV00264,CUST03433,2024-02-11 14:44:00,682.24,Cash,CASH04
INV00265,CUST01688,2024-05-23 20:00:00,7734.16,Cash,CASH08
INV00266,CUST00282,2024-01-04 08:54:00,2788.91,Cash,CASH05
INV00267,CUST00537,2024-02-12 21:15:00,3627.4,Card,CASH01
INV00268,CUST02942,2024-06-26 18:23:00,5858.45,UPI,CASH04
INV00269,CUST03713,2024-04-17 19:49:00,4393.65,Cash,CASH02
INV00270,CUST03639,2024-01-14 22:44:00,3003.16,Cash,CASH05
INV00271,CUST03689,2024-06-02 21:27:00,9389.72,Card,CASH06
INV00272,CUST01005,2024-03-16 10:01:00,9225.79,UPI,CASH08
INV00273,CUST02589,2024-06-09 16:20:00,9282.27,Cash,CASH08
INV00274,CUST02275,2024-04-25 17:18:00,4033.89,Cash,CASH08
INV00275,CUST03492,2024-02-29 21:20:00,6950.95,Card,CASH03
INV00276,CUST02554,2024-06-07 22:43:00,4445.17,UPI,CASH01
INV00277,CUST03599,2024-02-26 11:10:00,4549.15,Card,CASH01
INV00278,CUST00329,2024-06-29 08:10:00,1161.03,Card,CASH02
INV00279,CUST03276,2024-04-11 12:02:00,3361.35,Cash,CASH07
INV00280,CUST01783,2024-04-25 21:57:00,3972.53,Cash,CASH05
INV00281,CUST03732,2024-02-19 11:53:00,7399.06,UPI,CASH05
INV00282,CUST00995,2024-06-16 22:59:00,9019.89,Card,CASH02
INV00283,CUST03875,2024-06-17 17:50:00,3364.19,Card,CASH04
INV00284,CUST01793,2024-01-24 16:11:00,943.85,Cash,CASH01
INV00285,CUST00055,2024-03-04 11:33:00,4707.52,Cash,CASH05
INV00286,CUST01031,2024-01-26 08:58:00,3568.32,Card,CASH07
INV00287,CUST00171,2024-01-11 10:04:00,8838.32,UPI,CASH01
INV00288,CUST03782,2024-01-31 21:29:00,3310.16,UPI,CASH02
INV00289,CUST03974,2024-05-12 21:10:00,5746.1,Card,CASH08
INV00290,CUST01108,2024-03-20 22:13:00,4112.42,Cash,CASH03
INV00291,CUST01419,2024-03-28 18:46:00,5265.68,UPI,CASH04
INV00292,CUST02881,2024-03-06 20:20:00,9395.24,Card,CASH08
INV00293,CUST03323,2024-01-28 10:42:00,5751.73,Cash,CASH07
INV00294,CUST00547,2024-02-21 21:54:00,2825.1,Cash,CASH05
INV00295,CUST02526,2024-03-12 22:18:00,1723.25,UPI,CASH06
INV00296,CUST00616,2024-01-28 14:24:00,4324.11,Card,CASH05
INV00297,CUST00370,2024-02-04 19:52:00,3209.0,UPI,CASH02
INV00298,CUST03503,2024-04-20 08:04:00,3791.67,Cash,CASH05
INV00299,CUST02872,2024-01-05 15:04:00,2195.37,Cash,CASH03
INV00300,CUST00571,2024-02-23 10:02:00,669.91,Cash,CASH06
INV00301,CUST03426,2024-04-20 12:05:00,22.3,Cash,CASH03
INV00302,CUST01349,2024-02-27 21:02:00,6922.19,Card,CASH06
INV00303,CUST01003,2024-06-07 15:59:00,96.88,Cash,CASH07
INV00304,CUST01698,2024-03-30 20:59:00,4738.8,Cash,CASH07
INV00305,CUST03614,2024-03-08 14:13:00,7739.41,Cash,CASH06
INV00306,CUST02646,2024-03-16 17:15:00,1182.79,Cash,CASH06
INV00307,CUST00963,2024-06-14 11:19:00,4752.65,Cash,CASH02
INV00308,CUST03017,2024-02-19 12:57:00,2212.25,UPI,CASH08
INV00309,CUST02278,2024-05-09 22:56:00,3130.42,Card,CASH05
INV00310,CUST01882,2024-02-29 19:03:00,3416.95,Cash,CASH06
INV00311,CUST01820,2024-01-25 17:23:00,12130.18,Cash,CASH04
INV00312,CUST00511,2024-03-12 08:56:00,8566.43,Cash,CASH07
INV00313,CUST03960,2024-06-05 13:05:00,4642.02,Card,CASH01
INV00314,CUST00495,2024-02-25 10:44:00,4646.12,Card,CASH06
INV00315,CUST03150,2024-06-18 12:30:00,6778.31,Cash,CASH01
INV00316,CUST03235,2024-02-24 15:30:00,8774.12,Card,CASH02
INV00317,CUST03550,2024-02-04 17:24:00,6334.11,UPI,CASH03
INV00318,CUST01946,2024-01-30 19:15:00,7531.4,Cash,CASH05
INV00319,CUST03025,2024-01-19 20:41:00,5443.19,Cash,CASH03
INV00320,CUST03752,2024-03-08 15:45:00,1770.31,Cash,CASH08
INV00321,CUST03826,2024-05-11 11:10:00,2644.44,Cash,CASH05
INV00322,CUST03848,2024-02-01 08:55:00,1422.24,Card,CASH06
INV00323,CUST02991,2024-02-07 09:47:00,2270.05,Card,CASH05
INV00324,CUST00448,2024-02-01 17:03:00,452.12,Card,CASH07
INV00325,CUST01672,2024-03-23 15:06:00,7470.81,Cash,CASH02
INV00326,CUST01014,2024-05-31 13:05:00,4878.65,Card,CASH01
INV00327,CUST02367,2024-06-23 17:10:00,5149.72,Card,CASH03
INV00328,CUST02164,2024-01-02 10:27:00,4335.78,Cash,CASH04
INV00329,CUST02046,2024-06-09 12:54:00,183.16,Cash,CASH08
INV00330,CUST02709,2024-02-04 17:35:00,7045.4,UPI,CASH02
INV00331,CUST00370,2024-05-16 18:32:00,8703.36,Cash,CASH02
INV00332,CUST03688,2024-03-08 12:57:00,6414.3,Card,CASH07
INV00333,CUST02939,2024-04-19 10:21:00,4791.05,Cash,CASH07
INV00334,CUST01934,2024-01-31 21:58:00,3390.44,Cash,CASH08
INV00335,CUST03561,2024-04-03 17:34:00,3033.84,Card,CASH01
INV00336,CUST03429,2024-01-01 19:51:00,2460.58,UPI,CASH07
INV00337,CUST00255,2024-01-03 22:14:00,1532.3,Cash,CASH02
INV00338,CUST01972,2024-03-17 10:44:00,1194.85,Cash,CASH03
INV00339,CUST00486,2024-06-02 22:46:00,4654.81,Card,CASH05
INV00340,CUST03284,2024-05-24 11:45:00,1293.93,Cash,CASH02
INV00341,CUST03446,2024-05-29 22:15:00,792.82,UPI,CASH04
INV00342,CUST00477,2024-03-29 22:19:00,4110.68,Cash,CASH01
INV00343,CUST03118,2024-01-23 18:45:00,784.14,Cash,CASH02
INV00344,CUST01706,2024-05-10 16:36:00,2204.43,Card,CASH06
INV00345,CUST01820,2024-03-06 16:11:00,2580.74,Card,CASH05
INV00346,CUST02227,2024-03-16 20:02:00,7480.53,Cash,CASH03
INV00347,CUST02759,2024-01-24 14:49:00,7757.16,Cash,CASH04
INV00348,CUST03806,2024-03-17 10:23:00,1982.04,UPI,CASH07
INV00349,CUST00542,2024-04-14 22:54:00,4150.83,Card,CASH06
INV00350,CUST01856,2024-02-21 21:38:00,1816.3,Cash,CASH03
INV00351,CUST01390,2024-01-29 12:58:00,1764.32,Cash,CASH06
INV00352,CUST00103,2024-01-29 16:26:00,4474.24,Cash,CASH03
INV00353,CUST02414,2024-01-05 16:06:00,2112.36,UPI,CASH08
INV00354,CUST02447,2024-01-17 22:53:00,4034.4,Cash,CASH04
INV00355,CUST03166,2024-05-31 11:38:00,6303.0,Card,CASH05
INV00356,CUST00161,2024-01-20 10:04:00,2606.49,Cash,CASH04
INV00357,CUST02973,2024-04-05 13:18:00,1500.16,Cash,CASH04
INV00358,CUST03922,2024-04-19 08:44:00,3974.74,Card,CASH05
INV00359,CUST00829,2024-03-12 22:40:00,2237.4,Card,CASH08
INV00360,CUST03947,2024-05-26 14:21:00,9096.94,Cash,CASH07
INV00361,CUST02623,2024-05-08 18:20:00,1356.84,Cash,CASH03
INV00362,CUST02863,2024-05-05 12:19:00,2805.86,Cash,CASH08
INV00363,CUST00405,2024-06-07 18:31:00,7833.11,UPI,CASH04
INV00364,CUST00224,2024-05-09 13:57:00,1419.32,Card,CASH02
INV00365,CUST03112,2024-05-05 09:39:00,2478.48,Cash,CASH07
INV00366,CUST00192,2024-01-31 09:37:00,6009.01,UPI,CASH01
INV00367,CUST00631,2024-01-06 10:42:00,5944.91,Card,CASH01
INV00368,CUST00075,2024-05-11 16:34:00,198.35,Card,CASH03
INV00369,CUST03918,2024-05-27 13:06:00,3123.62,Cash,CASH05
INV00370,CUST01863,2024-02-13 20:28:00,3982.55,Card,CASH04
