ItemID,InvoiceID,BatchID,QuantitySold,PriceAtSale,LineTotal
ITM000190,INV00078,BAT01735,2,601.61,1203.22
ITM000191,INV00078,BAT05400,3,50.36,151.08
ITM000192,INV00079,BAT01787,5,489.87,2449.35
ITM000193,INV00079,BAT05735,5,705.87,3529.35
ITM000194,INV00080,BAT02890,3,488.92,1466.76
ITM000195,INV00080,BAT00634,3,161.74,485.22
ITM000196,INV00081,BAT04495,5,618.35,3091.75
ITM000197,INV00082,BAT03369,4,936.59,3746.36
ITM000198,INV00082,BAT01926,1,317.84,317.84
ITM000199,INV00082,BAT00634,1,161.74,161.74
ITM000200,INV00083,BAT05749,3,645.87,1937.61
ITM000201,INV00083,BAT02823,4,87.78,351.12
ITM000202,INV00083,BAT02713,5,764.11,3820.55
ITM000203,INV00084,BAT01230,4,299.72,1198.88
ITM000204,INV00085,BAT05864,3,1060.34,3181.02
ITM000205,INV00085,BAT00010,3,681.82,2045.46
ITM000206,INV00085,BAT04816,4,107.61,430.44
ITM000207,INV00086,BAT01471,1,369.34,369.34
ITM000208,INV00086,BAT02862,1,587.71,587.71
ITM000209,INV00086,BAT04061,3,988.32,2964.96
ITM000210,INV00086,BAT05771,3,928.79,2786.37
ITM000211,INV00087,BAT05002,4,592.23,2368.92
ITM000212,INV00088,BAT01150,2,744.77,1489.54
ITM000213,INV00088,BAT05562,2,409.9,819.8
ITM000214,INV00089,BAT00847,5,205.35,1026.75
ITM000215,INV00090,BAT04322,5,182.49,912.45
ITM000216,INV00091,BAT02788,2,490.97,981.94
ITM000217,INV00091,BAT03836,3,275.62,826.86
ITM000218,INV00091,BAT01414,1,916.11,916.11
ITM000219,INV00091,BAT00389,5,681.41,3407.05
ITM000220,INV00092,BAT02070,4,519.4,2077.6
ITM000221,INV00092,BAT05697,3,596.52,1789.56
ITM000222,INV00092,BAT02105,2,910.19,1820.38
ITM000223,INV00092,BAT01224,5,245.13,1225.65
ITM000224,INV00093,BAT03048,3,457.7,1373.1
ITM000225,INV00093,BAT04016,1,167.39,167.39
ITM000226,INV00093,BAT00924,3,1006.68,3020.04
ITM000227,INV00094,BAT01592,5,804.08,4020.4
ITM000228,INV00094,BAT03512,2,177.38,354.76
ITM000229,INV00094,BAT02739,5,889.61,4448.05
ITM000230,INV00094,BAT04645,3,605.62,1816.86
ITM000231,INV00095,BAT00508,3,538.51,1615.53
ITM000232,INV00095,BAT04814,2,214.24,428.48
ITM000233,INV00096,BAT04185,5,581.07,2905.35
ITM000234,INV00096,BAT04510,5,705.91,3529.55
ITM000235,INV00097,BAT05509,5,149.17,745.85
ITM000236,INV00097,BAT01086,3,437.9,1313.7
ITM000237,INV00097,BAT04301,1,401.03,401.03
ITM000238,INV00098,BAT03366,2,971.6,1943.2
ITM000239,INV00098,BAT02852,5,749.26,3746.3
ITM000240,INV00098,BAT05117,1,474.98,474.98
ITM000241,INV00098,BAT04112,1,63.35,63.35
ITM000242,INV00099,BAT01166,3,71.98,215.94
ITM000243,INV00099,BAT00753,5,634.67,3173.35
ITM000244,INV00099,BAT00528,4,740.36,2961.44
ITM000245,INV00100,BAT05535,5,723.07,3615.35
ITM000246,INV00100,BAT05624,4,78.95,315.8
ITM000247,INV00100,BAT02487,2,821.43,1642.86
ITM000248,INV00100,BAT04815,2,748.14,1496.28
ITM000249,INV00101,BAT04880,2,134.09,268.18
ITM000250,INV00101,BAT02912,3,217.28,651.84
ITM000251,INV00101,BAT03183,4,310.36,1241.44
ITM000252,INV00102,BAT05198,1,759.86,759.86
ITM000253,INV00102,BAT00493,4,601.42,2405.68
ITM000254,INV00102,BAT00022,1,614.06,614.06
ITM000255,INV00103,BAT03553,5,467.91,2339.55
ITM000256,INV00103,BAT04157,1,157.89,157.89
ITM000257,INV00104,BAT02284,2,149.66,299.32
ITM000258,INV00104,BAT02871,5,214.03,1070.15
ITM000259,INV00105,BAT02898,3,1007.62,3022.86
ITM000260,INV00105,BAT02779,2,45.03,90.06
ITM000261,INV00105,BAT01343,4,1046.72,4186.88
ITM000262,INV00105,BAT04412,1,600.08,600.08
ITM000263,INV00106,BAT05437,5,987.04,4935.2
ITM000264,INV00106,BAT05097,4,869.19,3476.76
ITM000265,INV00106,BAT02611,5,975.77,4878.85
ITM000266,INV00106,BAT03608,3,661.95,1985.85
ITM000267,INV00107,BAT05801,3,128.85,386.55
ITM000268,INV00107,BAT00048,3,437.34,1312.02
ITM000269,INV00108,BAT05751,1,775.9,775.9
ITM000270,INV00108,BAT04441,5,730.43,3652.15
ITM000271,INV00108,BAT03777,3,332.09,996.27
ITM000272,INV00109,BAT03352,1,139.0,139.0
ITM000273,INV00109,BAT05867,4,908.81,3635.24
ITM000274,INV00109,BAT01561,5,231.97,1159.85
ITM000275,INV00109,BAT01835,5,83.62,418.1
ITM000276,INV00110,BAT03502,1,381.04,381.04
ITM000277,INV00110,BAT01931,5,310.05,1550.25
ITM000278,INV00111,BAT00082,2,373.39,746.78
ITM000279,INV00111,BAT02538,1,712.19,712.19
ITM000280,INV00111,BAT05867,1,908.81,908.81
ITM000281,INV00111,BAT00786,2,1036.62,2073.24
ITM000282,INV00112,BAT04414,3,1047.61,3142.83
ITM000283,INV00112,BAT01135,2,769.05,1538.1
ITM000284,INV00113,BAT05837,2,899.12,1798.24
ITM000285,INV00113,BAT00627,3,547.17,1641.51
ITM000286,INV00114,BAT05597,2,282.1,564.2
ITM000287,INV00114,BAT01621,3,596.16,1788.48
ITM000288,INV00114,BAT00077,1,602.28,602.28
ITM000289,INV00114,BAT00396,3,77.38,232.14
ITM000290,INV00115,BAT05408,1,932.49,932.49
ITM000291,INV00115,BAT03559,2,37.62,75.24
ITM000292,INV00115,BAT05657,4,473.18,1892.72
ITM000293,INV00116,BAT00958,5,304.77,1523.85
ITM000294,INV00116,BAT03638,2,366.79,733.58
ITM000295,INV00117,BAT03635,1,120.54,120.54
ITM000296,INV00117,BAT00109,1,697.2,697.2
ITM000297,INV00117,BAT01321,5,786.4,3932.0
ITM000298,INV00117,BAT00592,3,264.6,793.8
ITM000299,INV00118,BAT03623,4,237.26,949.04
ITM000300,INV00118,BAT00109,2,697.2,1394.4
ITM000301,INV00119,BAT02015,4,382.18,1528.72
ITM000302,INV00119,BAT03801,4,560.05,2240.2
ITM000303,INV00119,BAT05929,5,868.74,4343.7
ITM000304,INV00120,BAT01797,2,124.84,249.68
ITM000305,INV00120,BAT03097,4,392.29,1569.16
ITM000306,INV00121,BAT05817,1,841.75,841.75
ITM000307,INV00122,BAT04073,3,818.87,2456.61
ITM000308,INV00122,BAT02712,3,368.97,1106.91
ITM000309,INV00122,BAT00483,3,826.24,2478.72
ITM000310,INV00122,BAT00223,4,390.48,1561.92
ITM000311,INV00123,BAT02717,1,680.08,680.08
ITM000312,INV00124,BAT02624,4,246.92,987.68
ITM000313,INV00124,BAT04952,2,595.88,1191.76
ITM000314,INV00124,BAT01599,3,860.14,2580.42
ITM000315,INV00124,BAT02982,3,43.86,131.58
ITM000316,INV00125,BAT00166,4,244.45,977.8
ITM000317,INV00125,BAT01453,4,986.52,3946.08
ITM000318,INV00125,BAT02328,5,497.37,2486.85
ITM000319,INV00126,BAT04166,1,283.1,283.1
ITM000320,INV00126,BAT00775,2,776.29,1552.58
ITM000321,INV00126,BAT05195,1,912.62,912.62
ITM000322,INV00127,BAT00978,3,98.43,295.29
ITM000323,INV00128,BAT04421,4,314.05,1256.2
ITM000324,INV00128,BAT05821,3,304.08,912.24
ITM000325,INV00129,BAT04781,2,256.38,512.76
ITM000326,INV00129,BAT01242,4,647.68,2590.72
ITM000327,INV00129,BAT01294,2,807.2,1614.4
ITM000328,INV00130,BAT04910,3,303.91,911.73
ITM000329,INV00131,BAT03378,3,820.16,2460.48
ITM000330,INV00132,BAT01799,1,821.05,821.05
ITM000331,INV00132,BAT02611,3,975.77,2927.31
ITM000332,INV00132,BAT02254,4,361.63,1446.52
ITM000333,INV00132,BAT04555,1,194.21,194.21
ITM000334,INV00133,BAT02485,1,145.44,145.44
ITM000335,INV00133,BAT01846,1,812.53,812.53
ITM000336,INV00133,BAT03392,2,539.06,1078.12
ITM000337,INV00133,BAT02705,4,694.84,2779.36
ITM000338,INV00134,BAT01155,3,449.69,1349.07
ITM000339,INV00134,BAT00342,3,1000.1,3000.3
ITM000340,INV00134,BAT00916,2,703.13,1406.26
ITM000341,INV00135,BAT01821,4,858.61,3434.44
ITM000342,INV00136,BAT05606,5,791.09,3955.45
ITM000343,INV00136,BAT05253,1,521.59,521.59
ITM000344,INV00136,BAT04688,3,131.01,393.03
ITM000345,INV00136,BAT05127,3,101.95,305.85
ITM000346,INV00137,BAT03531,4,849.9,3399.6
ITM000347,INV00137,BAT01752,5,709.69,3548.45
ITM000348,INV00137,BAT03154,4,767.97,3071.88
ITM000349,INV00137,BAT01601,3,355.69,1067.07
ITM000350,INV00138,BAT01508,1,964.73,964.73
ITM000351,INV00138,BAT03718,1,943.32,943.32
ITM000352,INV00139,BAT01689,3,407.49,1222.47
ITM000353,INV00139,BAT04041,5,27.12,135.6
ITM000354,INV00139,BAT01303,4,302.43,1209.72
ITM000355,INV00140,BAT04612,2,411.55,823.1
ITM000356,INV00140,BAT03931,5,400.96,2004.8
ITM000357,INV00140,BAT00350,4,369.15,1476.6
ITM000358,INV00141,BAT02875,2,302.14,604.28
ITM000359,INV00141,BAT02976,4,341.5,1366.0
ITM000360,INV00142,BAT00574,4,925.72,3702.88
ITM000361,INV00142,BAT04875,1,45.28,45.28
ITM000362,INV00143,BAT00621,4,834.19,3336.76
ITM000363,INV00143,BAT05441,1,228.91,228.91
ITM000364,INV00143,BAT01707,1,294.1,294.1
ITM000365,INV00143,BAT04795,1,715.07,715.07
ITM000366,INV00144,BAT05630,5,741.01,3705.05
ITM000367,INV00145,BAT05070,1,918.68,918.68
ITM000368,INV00146,BAT00721,4,804.01,3216.04
ITM000369,INV00146,BAT01088,5,25.99,129.95
ITM000370,INV00147,BAT05993,4,670.41,2681.64
ITM000371,INV00147,BAT05174,1,244.04,244.04
ITM000372,INV00148,BAT02668,5,773.88,3869.4
ITM000373,INV00149,BAT05328,2,374.65,749.3
ITM000374,INV00150,BAT03044,5,570.99,2854.95
ITM000375,INV00150,BAT05413,4,855.18,3420.72
ITM000376,INV00150,BAT03309,2,154.94,309.88
ITM000377,INV00150,BAT05476,5,970.3,4851.5
ITM000378,INV00151,BAT00447,3,701.58,2104.74
ITM000379,INV00152,BAT00305,4,911.84,3647.36
ITM000380,INV00152,BAT01824,2,990.31,1980.62
ITM000381,INV00153,BAT00916,5,703.13,3515.65
ITM000382,INV00154,BAT05360,4,178.85,715.4
ITM000383,INV00154,BAT02436,2,396.41,792.82
ITM000384,INV00154,BAT05573,1,624.64,624.64
ITM000385,INV00155,BAT00710,5,336.91,1684.55
ITM000386,INV00155,BAT04894,4,188.85,755.4
ITM000387,INV00156,BAT05324,1,141.83,141.83
ITM000388,INV00156,BAT02632,2,837.87,1675.74
ITM000389,INV00156,BAT03851,5,145.77,728.85
ITM000390,INV00157,BAT05200,5,880.49,4402.45
ITM000391,INV00157,BAT05223,2,884.56,1769.12
ITM000392,INV00157,BAT04242,4,552.44,2209.76
ITM000393,INV00158,BAT05527,1,243.66,243.66
ITM000394,INV00158,BAT00228,1,517.16,517.16
ITM000395,INV00158,BAT03567,1,79.63,79.63
ITM000396,INV00158,BAT01258,1,836.23,836.23
ITM000397,INV00159,BAT02521,1,544.89,544.89
ITM000398,INV00159,BAT00266,4,126.71,506.84
ITM000399,INV00159,BAT04792,3,565.24,1695.72
ITM000400,INV00160,BAT02363,3,622.61,1867.83
ITM000401,INV00160,BAT04720,4,582.92,2331.68
ITM000402,INV00161,BAT02585,5,191.66,958.3
ITM000403,INV00161,BAT02536,2,731.41,1462.82
ITM000404,INV00161,BAT05999,2,1055.42,2110.84
ITM000405,INV00161,BAT05001,3,366.22,1098.66
ITM000406,INV00162,BAT01276,4,866.55,3466.2
ITM000407,INV00162,BAT03384,3,894.01,2682.03
ITM000408,INV00163,BAT01539,5,385.64,1928.2
ITM000409,INV00163,BAT01920,5,100.7,503.5
ITM000410,INV00163,BAT01422,2,178.27,356.54
ITM000411,INV00164,BAT00491,4,61.41,245.64
ITM000412,INV00164,BAT05173,2,606.0,1212.0
ITM000413,INV00165,BAT00700,2,659.5,1319.0
ITM000414,INV00165,BAT03591,2,145.43,290.86
ITM000415,INV00166,BAT05172,5,103.67,518.35
ITM000416,INV00166,BAT04876,4,585.91,2343.64
ITM000417,INV00166,BAT01530,2,618.84,1237.68
ITM000418,INV00167,BAT02671,5,1032.95,5164.75
ITM000419,INV00167,BAT03228,3,882.54,2647.62
ITM000420,INV00167,BAT01586,4,576.97,2307.88
ITM000421,INV00168,BAT01116,2,902.77,1805.54
ITM000422,INV00168,BAT00896,1,169.74,169.74
ITM000423,INV00169,BAT03270,1,640.95,640.95
ITM000424,INV00169,BAT05259,1,830.23,830.23
ITM000425,INV00169,BAT00868,3,220.0,660.0
ITM000426,INV00170,BAT03663,4,622.2,2488.8
ITM000427,INV00171,BAT00886,5,740.46,3702.3
ITM000428,INV00172,BAT05232,3,331.42,994.26
ITM000429,INV00172,BAT01846,4,812.53,3250.12
ITM000430,INV00173,BAT01478,3,405.6,1216.8
ITM000431,INV00173,BAT02385,5,733.73,3668.65
ITM000432,INV00173,BAT00898,2,137.8,275.6
ITM000433,INV00174,BAT02994,5,185.81,929.05
ITM000434,INV00174,BAT00517,1,261.97,261.97
ITM000435,INV00175,BAT04076,3,81.94,245.82
ITM000436,INV00176,BAT02970,2,414.35,828.7
ITM000437,INV00176,BAT05597,1,282.1,282.1
ITM000438,INV00176,BAT05377,2,285.31,570.62
ITM000439,INV00176,BAT03847,3,439.05,1317.15
ITM000440,INV00177,BAT04303,5,328.61,1643.05
ITM000441,INV00177,BAT00365,3,338.94,1016.82
ITM000442,INV00177,BAT01570,5,876.26,4381.3
ITM000443,INV00177,BAT02585,1,191.66,191.66
ITM000444,INV00178,BAT02404,4,384.06,1536.24
ITM000445,INV00178,BAT01350,4,448.5,1794.0
ITM000446,INV00179,BAT03482,5,859.64,4298.2
ITM000447,INV00179,BAT04794,4,850.59,3402.36
ITM000448,INV00179,BAT05462,2,815.81,1631.62
ITM000449,INV00180,BAT00347,1,709.66,709.66
ITM000450,INV00180,BAT05011,3,159.97,479.91
ITM000451,INV00181,BAT02458,4,826.47,3305.88
ITM000452,INV00181,BAT00197,2,490.53,981.06
ITM000453,INV00181,BAT00562,5,46.14,230.7
ITM000454,INV00181,BAT04335,1,49.62,49.62
ITM000455,INV00182,BAT02265,3,194.12,582.36
ITM000456,INV00183,BAT04740,5,309.2,1546.0
ITM000457,INV00183,BAT03086,3,465.19,1395.57
ITM000458,INV00183,BAT02525,1,763.12,763.12
ITM000459,INV00183,BAT05082,4,403.35,1613.4
ITM000460,INV00184,BAT00701,1,1064.73,1064.73
ITM000461,INV00185,BAT01010,1,142.25,142.25
ITM000462,INV00186,BAT02723,3,663.72,1991.16
ITM000463,INV00186,BAT05299,3,724.77,2174.31
ITM000464,INV00186,BAT04136,4,168.67,674.68
ITM000465,INV00186,BAT05880,3,181.51,544.53
ITM000466,INV00187,BAT01824,3,990.31,2970.93
ITM000467,INV00188,BAT02006,2,902.37,1804.74
ITM000468,INV00188,BAT03214,4,398.69,1594.76
ITM000469,INV00189,BAT03335,4,531.43,2125.72
ITM000470,INV00190,BAT03213,2,614.84,1229.68
ITM000471,INV00190,BAT00778,2,65.6,131.2
ITM000472,INV00190,BAT04918,2,509.15,1018.3
ITM000473,INV00190,BAT02111,2,371.17,742.34
ITM000474,INV00191,BAT02369,5,178.27,891.35
ITM000475,INV00192,BAT00887,3,759.36,2278.08
ITM000476,INV00192,BAT03950,4,441.13,1764.52
ITM000477,INV00193,BAT03054,5,79.12,395.6
ITM000478,INV00194,BAT01547,2,126.83,253.66
ITM000479,INV00194,BAT02972,2,760.19,1520.38
ITM000480,INV00194,BAT03169,3,223.36,670.08
ITM000481,INV00194,BAT02606,4,331.23,1324.92
ITM000482,INV00195,BAT03888,3,159.77,479.31
ITM000483,INV00195,BAT01040,4,604.05,2416.2
ITM000484,INV00195,BAT04636,1,1025.26,1025.26
ITM000485,INV00195,BAT03195,3,959.65,2878.95
ITM000486,INV00196,BAT05149,2,965.92,1931.84
ITM000487,INV00196,BAT02145,5,990.62,4953.1
ITM000488,INV00196,BAT05772,3,1008.29,3024.87
ITM000489,INV00196,BAT00480,1,540.14,540.14
ITM000490,INV00197,BAT05841,2,393.54,787.08
ITM000491,INV00197,BAT05545,1,927.02,927.02
ITM000492,INV00197,BAT04841,4,848.53,3394.12
ITM000493,INV00197,BAT04589,2,65.13,130.26
ITM000494,INV00198,BAT05188,2,929.08,1858.16
ITM000495,INV00199,BAT01696,5,475.77,2378.85
ITM000496,INV00199,BAT01738,5,434.77,2173.85
ITM000497,INV00199,BAT04148,5,372.04,1860.2
ITM000498,INV00200,BAT03189,4,694.54,2778.16
ITM000499,INV00200,BAT01172,3,749.12,2247.36
ITM000500,INV00200,BAT04662,2,515.32,1030.64
ITM000501,INV00200,BAT02609,5,420.88,2104.4
ITM000502,INV00201,BAT03910,4,745.0,2980.0
ITM000503,INV00201,BAT03393,5,120.16,600.8
ITM000504,INV00201,BAT05897,5,267.12,1335.6
