BatchID,MedicineID,SupplierName,StockQuantity,WholesalePrice,RetailPrice,ManufactureDate,ExpiryDate
BAT00030,MED1005,Vigilant Life Sciences Pvt Ltd,449,93.66,124.8,2023-05-24,2026-04-15
BAT00031,MED4192,Apex Medicals,400,512.19,620.04,2023-01-08,2025-08-30
BAT00032,MED5115,MedLife Distributors,493,759.84,903.81,2023-10-25,2026-05-23
BAT00033,MED1167,Medley Pharmaceuticals Ltd,134,83.48,99.92,2023-06-14,2025-12-23
BAT00034,MED1190,Bactolac Formulations Pvt Ltd,471,793.52,1071.69,2023-08-25,2024-10-01
BAT00035,MED0275,Apex Medicals,78,601.2,781.06,2023-01-19,2025-11-02
BAT00036,MED0253,Global Pharma Supply,268,521.74,708.22,2023-12-19,2026-11-16
BAT00037,MED1308,Leeford Healthcare Ltd,346,415.94,562.04,2023-01-24,2024-11-23
BAT00038,MED0325,Vibcare Pharma Pvt Ltd,477,91.23,118.25,2023-04-03,2024-09-05
BAT00039,MED5287,Ideal Life Sciences Pvt Ltd,293,573.66,766.29,2023-05-26,2025-12-19
BAT00040,MED2532,Vee Remedies,451,160.2,197.31,2023-02-15,2025-10-31
BAT00041,MED5730,MedLife Distributors,43,320.62,375.73,2023-05-18,2026-02-20
BAT00042,MED0746,Apex Medicals,128,520.03,671.38,2023-10-02,2024-10-13
BAT00043,MED1338,Smayan Healthcare Pvt Ltd,485,544.82,671.16,2023-07-09,2026-02-02
BAT00044,MED5836,Global Pharma Supply,251,624.49,807.24,2023-01-29,2024-10-06
BAT00045,MED0072,Apex Medicals,177,374.69,463.5,2023-03-25,2025-02-08
BAT00046,MED4068,Skysun Life Sciences Pvt Ltd,291,460.22,608.22,2023-05-31,2024-12-24
BAT00047,MED5157,BMW Pharmaco India Pvt Ltd,135,749.82,989.25,2023-11-14,2026-08-28
BAT00048,MED5682,Jubilant Lifesciences Ltd,71,521.81,726.88,2023-03-04,2024-03-11
BAT00049,MED1096,Welgenic Pharma,250,229.86,299.7,2023-03-25,2024-08-01
BAT00050,MED4228,Lupin Ltd,99,576.67,687.26,2023-09-09,2024-10-05
BAT00051,MED1203,Dr Moni Pharmaceuticals Pvt Ltd,331,256.51,350.28,2023-03-26,2025-11-03
BAT00052,MED3046,MedLife Distributors,450,486.17,570.48,2023-11-05,2025-07-31
BAT00053,MED0162,Ergos Life Sciences Pvt Ltd,483,758.87,877.36,2023-10-02,2026-02-26
BAT00054,MED3476,Demax Biotech Pvt Ltd,399,329.03,454.21,2023-05-06,2025-05-31
BAT00055,MED0345,Hetero Drugs Ltd,209,698.08,944.9,2023-08-14,2025-07-05
BAT00056,MED0498,Alvio Pharmaceuticals Pvt Ltd,162,549.02,659.87,2023-01-05,2024-04-29
BAT00057,MED4505,Bellissa Pharmaceuticals Pvt Ltd,113,323.27,397.03,2023-02-20,2025-03-29
BAT00058,MED3345,Sun Pharmaceutical Industries Ltd,497,255.38,316.64,2023-06-28,2025-04-14
BAT00059,MED2548,Mankind Pharma Pvt Ltd,363,787.35,1059.36,2023-04-01,2025-07-30
BAT00060,MED0220,Apex Medicals,438,192.25,229.03,2023-11-28,2025-11-04
BAT00061,MED0533,Apex Medicals,486,416.57,482.14,2023-07-06,2025-06-25
BAT00062,MED0260,Symbiosis Pharmaceuticals Pvt Ltd,300,710.78,821.15,2023-01-19,2025-10-02
BAT00063,MED4317,MedLife Distributors,450,556.68,672.37,2023-03-17,2025-06-01
BAT00064,MED1538,Zydus Cadila,410,269.06,321.75,2023-02-04,2024-03-15
BAT00065,MED5070,Apex Medicals,37,746.45,1023.4,2023-08-26,2026-01-23
BAT00066,MED2858,Global Pharma Supply,367,360.72,446.96,2023-07-29,2025-11-13
BAT00067,MED1504,Global Pharma Supply,65,451.91,547.9,2023-02-09,2024-05-16
BAT00068,MED0978,Silantro Pharma Pvt Ltd,134,477.88,610.24,2023-10-15,2025-05-28
BAT00069,MED1568,Apex Medicals,449,162.54,196.96,2023-04-14,2024-06-28
BAT00070,MED0984,Lincoln Pharmaceuticals Ltd,181,796.78,1004.19,2023-12-29,2026-03-01
BAT00071,MED2237,Global Pharma Supply,126,286.98,367.42,2023-08-11,2024-08-26
BAT00072,MED1810,MedLife Distributors,131,461.07,556.11,2023-11-25,2024-12-20
BAT00073,MED4732,Minii Life Sciences Pvt Ltd,332,175.91,202.77,2023-09-26,2025-03-05
BAT00074,MED0926,MedLife Distributors,401,645.88,835.73,2023-12-07,2025-06-24
BAT00075,MED0884,Galpha Laboratories Ltd,51,171.47,213.27,2023-06-22,2025-04-14
BAT00076,MED0778,Meyer Organics Pvt Ltd,460,433.22,520.38,2023-09-10,2025-07-20
BAT00077,MED4806,MedLife Distributors,339,576.93,714.37,2023-03-02,2025-03-04
BAT00078,MED1067,Abbott India Ltd,54,294.62,368.5,2023-09-21,2026-07-21
BAT00079,MED3229,MedLife Distributors,18,580.1,753.66,2023-09-27,2025-08-28
BAT00080,MED0095,MedLife Distributors,62,698.06,812.59,2023-02-08,2024-09-20
BAT00081,MED5106,Apex Medicals,214,53.16,61.37,2023-04-03,2025-09-05
BAT00082,MED4291,Klm Laboratories Pvt Ltd,393,176.58,234.36,2023-11-10,2025-12-30
BAT00083,MED5444,Apex Medicals,284,363.33,460.6,2023-01-09,2024-09-21
BAT00084,MED5957,Lifecare Neuro Products Ltd,60,541.59,741.82,2023-03-10,2025-07-04
BAT00085,MED3748,Macmillon Pharmaceuticals,407,308.41,356.73,2023-07-28,2026-07-18
BAT00086,MED1165,Aden Healthcare,338,253.89,295.62,2023-02-09,2025-03-09
BAT00087,MED0792,MedLife Distributors,350,174.82,220.95,2023-01-28,2025-07-06
BAT00088,MED2880,Goodlife Pharmaceuticals India pvt Ltd,185,722.66,846.98,2023-05-22,2025-02-28
BAT00089,MED3894,MedLife Distributors,39,13.43,15.99,2023-10-13,2026-06-11
BAT00090,MED1839,Pfizer Ltd,142,55.34,68.25,2023-12-16,2026-06-05
BAT00091,MED5839,Apex Medicals,392,323.31,429.99,2023-08-31,2025-12-19
BAT00092,MED3568,Atishya Biotech,226,162.27,199.11,2023-10-05,2025-04-10
BAT00093,MED0699,Abbott India Ltd,10,637.1,810.69,2023-09-09,2026-04-07
BAT00094,MED3928,Micro Labs Ltd,398,536.47,700.0,2023-01-08,2024-12-02
BAT00095,MED5185,Obsurge Biotech Ltd,230,141.23,181.76,2023-12-15,2026-01-12
BAT00096,MED3526,Global Pharma Supply,21,514.93,660.55,2023-05-28,2025-04-25
BAT00097,MED0464,Apellon Biotech,293,758.18,1001.44,2023-01-23,2024-12-17
BAT00098,MED3730,Global Pharma Supply,170,360.01,486.45,2023-06-22,2025-08-23
BAT00099,MED3794,Plasmagen Biosciences Pvt Ltd,441,710.99,871.42,2023-01-03,2024-12-22
BAT00100,MED1928,MedLife Distributors,161,308.29,404.88,2023-12-14,2026-06-09
BAT00101,MED3102,Pharmed Ltd,262,214.57,252.14,2023-09-25,2026-09-24
BAT00102,MED5664,Global Pharma Supply,192,257.13,309.74,2023-06-14,2024-11-16
BAT00103,MED3124,Medicom International Eyetech Pvt Ltd,323,569.17,683.09,2023-02-04,2024-04-18
BAT00104,MED1838,Global Pharma Supply,472,66.26,81.25,2023-02-14,2024-04-09
BAT00105,MED3469,MedLife Distributors,59,73.63,101.98,2023-11-07,2026-03-10
BAT00106,MED5540,Makeway Formulations Pvt Ltd,195,767.31,908.93,2023-12-31,2025-06-18
BAT00107,MED0783,Alturamed Healthcare Pvt Ltd,288,457.73,540.98,2023-05-30,2025-07-26
BAT00108,MED5302,GlaxoSmithKline Pharmaceuticals Ltd,89,269.74,329.53,2023-10-06,2025-01-13
BAT00109,MED4409,Apex Medicals,236,521.84,680.69,2023-02-26,2024-04-28
BAT00110,MED1065,Global Pharma Supply,82,140.09,163.73,2023-01-03,2025-05-26
BAT00111,MED2307,HARRISONS REMEDIES PVT,383,656.98,764.42,2023-04-01,2026-01-26
BAT00112,MED5620,Atom Molecules,211,58.62,80.99,2023-07-12,2025-05-12
BAT00113,MED4185,Biophar Lifesciences Pvt Ltd,192,487.8,584.65,2023-03-03,2024-06-28
BAT00114,MED3536,Apex Medicals,223,463.51,621.66,2023-01-18,2024-12-27
BAT00115,MED3819,Icon Life Sciences,38,319.14,369.05,2023-01-17,2024-05-05
BAT00116,MED3108,Global Pharma Supply,408,461.71,644.94,2023-08-20,2025-01-12
BAT00117,MED2489,Reliance Formulation Pvt Ltd,271,635.9,798.35,2023-07-23,2026-04-02
BAT00118,MED2160,MedLife Distributors,304,560.43,669.76,2023-07-26,2025-10-19
BAT00119,MED4715,Prochem India Pvt Ltd,191,659.32,852.16,2023-06-07,2025-05-16
BAT00120,MED2680,Biosys Medisciences,408,228.63,303.15,2023-08-17,2025-01-24
BAT00121,MED3545,Neuralink Pharmaceuticals Opc Pvt Ltd,386,341.24,398.54,2023-06-07,2025-06-21
BAT00122,MED4077,Makeway Formulations Pvt Ltd,35,136.67,166.22,2023-12-02,2025-05-19
BAT00123,MED5051,Splenz Pharmaceuticals Pvt Ltd,260,180.49,229.6,2023-10-27,2026-03-06
BAT00124,MED2564,Zeeford Life Sciences,247,680.3,919.86,2023-06-23,2025-10-14
BAT00125,MED2511,Taurus Laboratories Pvt Ltd,304,515.88,630.01,2023-08-10,2026-07-03
BAT00126,MED0950,Apex Medicals,288,305.49,394.33,2023-01-06,2024-01-11
BAT00127,MED1603,Global Pharma Supply,123,84.57,116.34,2023-10-19,2025-06-19
BAT00128,MED4021,Fusion Health Care Pvt Ltd,440,591.55,787.54,2023-02-15,2025-06-22
BAT00129,MED4359,Sun Pharmaceutical Industries Ltd,208,687.3,928.07,2023-10-08,2026-08-07
BAT00130,MED1781,Global Pharma Supply,261,739.6,1004.94,2023-04-06,2025-02-01
BAT00131,MED1462,Global Pharma Supply,397,574.44,672.25,2023-08-22,2024-10-18
BAT00132,MED3949,Drukst Biotech Pvt Ltd,381,705.09,926.88,2023-10-01,2025-01-05
BAT00133,MED5659,United Biotech Pvt Ltd,182,416.24,560.08,2023-05-21,2024-07-07
BAT00134,MED3391,Apex Medicals,411,689.91,928.21,2023-11-26,2025-06-18
BAT00135,MED3814,Sun Pharmaceutical Industries Ltd,451,188.6,253.53,2023-12-18,2026-08-09
BAT00136,MED2126,Medishri Healthcare Pvt Ltd,459,245.11,305.5,2023-03-20,2025-07-06
BAT00137,MED1599,Hetero Healthcare Pvt Ltd,60,662.61,788.08,2023-03-10,2025-04-13
BAT00138,MED4023,Sun Pharmaceutical Industries Ltd,412,347.77,479.24,2023-12-31,2024-12-31
BAT00139,MED2104,MedLife Distributors,497,33.99,46.06,2023-02-09,2025-08-03
BAT00140,MED3592,Vitemed Healthcare (OPC) Pvt Ltd,497,634.18,792.32,2023-04-07,2025-11-21
BAT00141,MED0667,Allites Life Sciences Pvt Ltd,395,675.66,913.97,2023-12-15,2026-06-08
BAT00142,MED4728,Glenmark Pharmaceuticals Ltd,431,298.59,407.82,2023-09-08,2024-12-08
BAT00143,MED0047,Mankind Pharma Pvt Ltd,284,88.3,110.1,2023-06-24,2026-02-14
BAT00144,MED5691,Apex Medicals,223,103.11,119.56,2023-02-05,2026-01-30
BAT00145,MED1954,Lyrid Healthcare Pvt Ltd,243,484.75,563.03,2023-09-08,2025-11-14
BAT00146,MED4597,MedLife Distributors,218,671.22,830.49,2023-07-31,2025-11-20
BAT00147,MED1246,Apex Medicals,106,287.04,386.89,2023-12-26,2026-02-18
BAT00148,MED1484,Apex Medicals,160,484.46,646.25,2023-11-26,2024-12-14
BAT00149,MED4419,Zuventus Healthcare Ltd,262,331.54,392.96,2023-09-06,2024-10-25
BAT00150,MED0915,Apex Medicals,405,541.69,680.09,2023-02-23,2024-06-09
BAT00151,MED1540,Cipla Ltd,27,233.23,269.39,2023-04-17,2025-05-09
BAT00152,MED5665,MedLife Distributors,432,417.33,487.81,2023-03-08,2024-12-05
BAT00153,MED1868,Euro Biogenics,346,568.4,767.22,2023-09-05,2025-03-26
BAT00154,MED1836,Care Formulations Lab,169,264.38,333.09,2023-10-30,2024-11-01
BAT00155,MED4953,Alkem Laboratories Ltd,91,63.11,86.76,2023-01-08,2024-05-21
BAT00156,MED1571,MedLife Distributors,392,148.0,187.89,2023-11-09,2026-02-23
BAT00157,MED2120,Dr Moni Pharmaceuticals Pvt Ltd,259,343.66,456.04,2023-08-07,2025-05-11
BAT00158,MED2584,Rexion Heathcare Pvt Ltd,367,422.7,562.64,2023-11-08,2026-09-19
BAT00159,MED4557,Sun Pharmaceutical Industries Ltd,256,733.34,887.12,2023-11-06,2025-05-03
BAT00160,MED4313,Wonne International,154,482.88,575.46,2023-03-20,2024-12-01
BAT00161,MED3661,Venistro Biotech,115,706.77,961.77,2023-05-24,2024-11-04
BAT00162,MED1509,Apex Medicals,463,184.99,215.35,2023-05-22,2024-08-22
BAT00163,MED1831,Global Pharma Supply,354,234.77,298.36,2023-12-31,2025-10-13
BAT00164,MED3904,Global Pharma Supply,414,376.21,510.2,2023-10-27,2026-09-08
BAT00165,MED2070,Global Pharma Supply,466,160.47,186.43,2023-10-08,2025-01-27
BAT00166,MED3244,Global Pharma Supply,117,454.2,531.74,2023-01-16,2024-11-09
BAT00167,MED3253,Symbiosis Pharmaceuticals Pvt Ltd,468,188.92,231.56,2023-05-08,2024-10-22
BAT00168,MED4232,Alniche Life Sciences Pvt Ltd,447,772.03,950.1,2023-06-03,2025-04-10
BAT00169,MED1346,Ozone Pharmaceuticals Ltd,143,405.26,476.81,2023-03-06,2024-10-30
BAT00170,MED0689,Global Pharma Supply,267,762.23,1026.28,2023-12-13,2026-05-22
BAT00171,MED0283,Sarabhai Chemicals (India) Pvt Ltd,14,228.43,314.74,2023-07-20,2024-07-27
BAT00172,MED3123,Global Pharma Supply,248,184.03,229.01,2023-08-15,2024-11-22
BAT00173,MED0754,MedLife Distributors,390,234.83,309.73,2023-08-03,2026-01-21
BAT00174,MED2588,Zenolia Life Science Pvt Ltd,260,506.61,671.61,2023-09-24,2026-04-06
BAT00175,MED5346,Aclaris Therapeutics Inc,416,401.86,505.04,2023-08-10,2025-01-11
BAT00176,MED4747,Sinsan Pharmaceuticals Pvt Ltd,331,118.4,148.96,2023-11-05,2024-12-16
BAT00177,MED4735,Global Pharma Supply,468,36.16,49.02,2023-06-09,2024-12-13
BAT00178,MED2119,Dewcare Concept Pvt Ltd,234,321.8,425.75,2023-12-20,2025-03-06
BAT00179,MED0847,Innovative Pharmaceuticals Pvt Ltd,193,706.58,950.8,2023-04-27,2024-06-04
BAT00180,MED2904,Tablets India Ltd,332,414.22,569.24,2023-05-08,2026-02-15
BAT00181,MED0889,Global Pharma Supply,99,72.83,91.29,2023-03-30,2024-11-02
BAT00182,MED3327,Emcure Pharmaceuticals Ltd,78,122.23,147.99,2023-11-18,2025-09-09
BAT00183,MED4656,Zenitiva Pharmaceuticals India Pvt Ltd,430,335.83,388.53,2023-09-01,2026-07-23
BAT00184,MED4913,Cresha Lifesciences,120,728.35,939.75,2023-06-26,2024-11-12
BAT00185,MED2027,Global Pharma Supply,42,787.31,1002.38,2023-02-04,2025-03-02
BAT00186,MED1510,Lloyd Healthcare Pvt Ltd,342,797.66,1084.6,2023-09-23,2025-04-15
BAT00187,MED3605,MedLife Distributors,206,721.6,930.09,2023-08-23,2025-07-04
BAT00188,MED0569,Metamorf Lifesciences,272,35.45,49.59,2023-06-04,2024-06-16
BAT00189,MED4444,Apex Medicals,375,772.68,1032.84,2023-05-04,2025-10-25
BAT00190,MED0153,Allergan Healthcare India Pvt Ltd,197,136.84,179.07,2023-02-28,2024-10-04
BAT00191,MED2033,MedLife Distributors,354,441.03,599.45,2023-12-31,2025-08-06
BAT00192,MED4248,MedLife Distributors,460,214.4,278.48,2023-06-14,2025-01-21
BAT00193,MED4431,MedLife Distributors,241,290.03,394.95,2023-05-13,2025-06-08
BAT00194,MED3075,MedLife Distributors,287,166.28,218.81,2023-04-06,2025-11-11
BAT00195,MED2882,Glaztar Lifesciences Pvt Ltd,414,506.63,654.77,2023-03-03,2024-11-12
BAT00196,MED2153,Vrinda Life,488,320.69,440.73,2023-06-10,2024-12-06
BAT00197,MED1639,Apex Medicals,50,43.4,55.89,2023-07-08,2026-04-12
BAT00198,MED1008,Avyukt Pharmaceuticals,385,81.77,111.86,2023-06-24,2025-05-17
BAT00199,MED3921,Ipca Laboratories Ltd,386,277.26,351.85,2023-05-22,2025-04-07
BAT00200,MED4516,Apex Medicals,233,343.59,465.51,2023-11-16,2026-11-04
BAT00201,MED3909,Medley Pharmaceuticals Ltd,483,153.47,190.56,2023-05-31,2024-12-07
BAT00202,MED3694,Galpha Laboratories Ltd,233,327.58,436.47,2023-10-07,2024-12-14
BAT00203,MED3479,Panacea Biotec Ltd,374,375.31,447.84,2023-08-18,2024-11-14
BAT00204,MED0977,Alembic Pharmaceuticals Ltd,343,540.89,647.89,2023-07-05,2026-03-28
BAT00205,MED4359,Sun Pharmaceutical Industries Ltd,235,470.01,614.73,2023-11-08,2024-12-20
BAT00206,MED2723,Scythian Healthcare,68,259.62,310.53,2023-05-12,2025-01-31
BAT00207,MED5376,Glenmark Pharmaceuticals Ltd,358,648.31,902.45,2023-02-05,2025-11-30
BAT00208,MED1399,Apex Medicals,398,319.71,392.03,2023-03-26,2024-12-14
BAT00209,MED3587,Entero Healthcare Solution Pvt Ltd,205,654.07,879.27,2023-02-11,2024-04-28
BAT00210,MED1695,Apace Life Sciences Pvt Ltd,452,22.42,26.4,2023-09-10,2026-05-05
BAT00211,MED5669,Cipla Ltd,70,553.87,770.05,2023-08-27,2026-04-26
BAT00212,MED5413,Organon India Ltd,402,476.09,627.39,2023-08-07,2025-07-04
BAT00213,MED2364,Talent India Pvt Ltd,26,249.75,339.02,2023-12-30,2026-05-21
BAT00214,MED2479,Sandiego Pharmaceuticals India Pvt Ltd,86,570.34,751.89,2023-05-24,2025-10-28
BAT00215,MED0272,Pharmatech Healthcare,263,647.21,776.19,2023-04-13,2025-10-30
BAT00216,MED1960,MedLife Distributors,341,360.27,464.62,2023-11-13,2025-08-06
BAT00217,MED1313,Aishwarya Healthcare,467,510.74,633.13,2023-01-09,2025-09-18
BAT00218,MED4151,Fenesta Healthcare LLP,203,469.83,649.17,2023-09-25,2026-04-28
BAT00219,MED2268,Veecube Healthcare Pvt Ltd,248,761.74,1040.41,2023-01-25,2024-07-31
BAT00220,MED2678,Zuventus Healthcare Ltd,27,270.44,347.54,2023-09-06,2025-10-28
BAT00221,MED0433,Insta Care Lifesciences Pvt Ltd,60,491.83,617.02,2023-05-30,2026-03-06
BAT00222,MED4556,East African Overseas (I) Pvt Ltd,321,598.39,707.25,2023-10-13,2025-07-24
BAT00223,MED0127,Novacon Pharmaceuticals Pvt Ltd,80,70.78,87.19,2023-06-19,2024-12-19
BAT00224,MED4041,Apex Medicals,66,665.85,800.26,2023-05-20,2026-04-23
BAT00225,MED5447,MedLife Distributors,101,436.95,570.7,2023-06-28,2025-07-07
BAT00226,MED2216,Medley Pharmaceuticals Ltd,147,791.86,1088.54,2023-08-17,2025-05-01
BAT00227,MED4245,Origin Health Care Pvt Ltd,249,150.89,198.15,2023-02-14,2025-10-14
BAT00228,MED1708,Apex Medicals,163,90.33,115.98,2023-06-29,2025-07-06
BAT00229,MED2676,Opulent Pharmaceuticals,410,597.32,798.85,2023-05-27,2025-01-19
BAT00230,MED5506,Daksh Pharmaceuticals Pvt Ltd,101,424.38,547.62,2023-07-02,2025-12-06
BAT00231,MED2846,MedLife Distributors,289,46.63,55.25,2023-01-28,2025-09-03
BAT00232,MED1053,Biochem Pharmaceutical Industries Ltd,78,782.93,995.03,2023-08-17,2025-02-05
BAT00233,MED3428,Emcure Pharmaceuticals Ltd,163,76.09,89.49,2023-08-16,2025-11-13
BAT00234,MED0640,MedLife Distributors,437,483.62,635.19,2023-05-18,2024-07-07
BAT00235,MED2992,Beat Pharmaceuticals,444,338.12,451.94,2023-06-06,2024-11-14
BAT00236,MED2253,Apex Medicals,90,270.57,363.07,2023-03-02,2025-09-12
BAT00237,MED4930,Apex Medicals,373,651.56,789.93,2023-02-27,2025-07-26
BAT00238,MED4149,MEDITECH PHARMA,433,70.53,96.58,2023-03-07,2025-06-28
BAT00239,MED4876,Tas Med India Pvt Ltd,334,298.18,388.09,2023-02-04,2025-04-10
BAT00240,MED5426,Global Pharma Supply,175,776.78,910.08,2023-02-10,2025-05-03
BAT00241,MED0408,HEVEREN HEALTHCARE PVT LTD,162,397.9,494.31,2023-08-03,2026-07-31
BAT00242,MED2216,Medley Pharmaceuticals Ltd,466,582.26,798.8,2023-12-31,2026-11-08
BAT00243,MED2207,Invision Medi Sciences Pvt Ltd,181,153.39,196.59,2023-01-10,2024-07-30
BAT00244,MED4152,Uniprogen Biotech Pvt Ltd,56,543.32,641.98,2023-03-21,2026-03-01
BAT00245,MED0426,Rech Elist Pharma,165,49.8,58.15,2023-07-07,2024-10-21
BAT00246,MED4888,Apex Medicals,176,732.05,951.31,2023-07-13,2025-08-04
BAT00247,MED4047,Global Pharma Supply,452,353.65,444.63,2023-08-24,2026-05-07
BAT00248,MED5042,MedLife Distributors,268,669.81,929.18,2023-09-21,2025-07-07
BAT00249,MED5420,ZRS Labs,329,787.18,1048.4,2023-02-21,2026-02-09
BAT00250,MED4206,MedLife Distributors,416,143.07,171.57,2023-06-03,2024-12-02
BAT00251,MED0760,Elivia Life Sciences Pvt Ltd,267,602.24,770.14,2023-04-10,2025-05-03
BAT00252,MED2170,Medisis Pharma & Medical Company,341,659.41,918.61,2023-04-17,2025-10-23
BAT00253,MED5710,Zither Pharmaceutical Pvt Ltd,395,429.26,575.17,2023-07-23,2024-08-06
BAT00254,MED4167,Alteus Biogenics Pvt Ltd,222,336.44,461.47,2023-06-08,2024-10-31
BAT00255,MED0900,Global Pharma Supply,13,293.36,371.51,2023-11-22,2026-07-09
BAT00256,MED5259,Global Pharma Supply,458,518.82,605.75,2023-12-21,2026-02-19
BAT00257,MED4209,Global Pharma Supply,21,351.84,406.58,2023-01-12,2024-04-13
BAT00258,MED5412,Systopic Laboratories Pvt Ltd,134,248.54,326.19,2023-06-09,2024-10-02
BAT00259,MED0369,MedLife Distributors,98,716.81,829.15,2023-03-31,2025-12-04
BAT00260,MED5704,Asvins Lifecare,216,86.77,119.51,2023-01-27,2025-06-25
BAT00261,MED1443,Globus Remedies Ltd,393,379.91,511.85,2023-11-10,2025-12-20
BAT00262,MED2652,Galcare Pharmaceuticals Pvt Ltd,334,325.57,376.42,2023-02-28,2024-12-31
BAT00263,MED4865,Apex Medicals,173,650.17,869.08,2023-05-04,2024-11-09
BAT00264,MED0352,CONCORD DRUGS LTD,472,798.59,1023.83,2023-09-07,2026-05-07
BAT00265,MED2344,MedLife Distributors,145,274.96,329.67,2023-04-19,2025-02-06
BAT00266,MED4649,Cipla Ltd,58,796.06,1077.04,2023-09-09,2026-06-20
BAT00267,MED3107,Gentech Healthcare Pvt Ltd,487,595.25,693.69,2023-02-12,2024-02-22
BAT00268,MED4001,Pfizer Ltd,245,413.62,479.85,2023-04-06,2026-01-31
BAT00269,MED4939,MedLife Distributors,489,199.54,232.46,2023-02-12,2025-09-26
BAT00270,MED3137,Global Pharma Supply,386,795.58,1040.2,2023-05-30,2024-11-21
BAT00271,MED5586,MedLife Distributors,146,759.88,876.0,2023-07-19,2026-05-27
BAT00272,MED0055,Mdc Pharmaceuticals Pvt Ltd,157,553.5,669.59,2023-06-07,2024-10-28
BAT00273,MED3027,MedLife Distributors,286,720.44,837.8,2023-03-11,2024-03-24
BAT00274,MED4396,Apex Medicals,312,40.51,54.52,2023-10-09,2025-01-06
BAT00275,MED0317,Apex Medicals,60,207.47,267.86,2023-02-20,2025-12-14
BAT00276,MED0057,Global Pharma Supply,19,700.1,830.03,2023-10-31,2025-10-04
BAT00277,MED5717,Canvas Biotech,429,645.44,747.56,2023-01-25,2025-01-18
BAT00278,MED1684,Avighna Medicare Pvt Ltd,109,380.48,495.71,2023-06-25,2026-03-23
BAT00279,MED1833,Apex Medicals,260,451.47,543.59,2023-08-22,2025-04-04
BAT00280,MED0978,Silantro Pharma Pvt Ltd,349,573.81,779.81,2023-02-12,2025-06-26
BAT00281,MED5912,Apex Medicals,203,244.22,313.58,2023-08-14,2024-10-30
BAT00282,MED4353,MedLife Distributors,276,248.4,331.98,2023-04-03,2024-12-19
BAT00283,MED0882,Innovative Pharmaceuticals Pvt Ltd,249,182.03,236.95,2023-06-25,2025-02-24
BAT00284,MED5196,Innovexia Life Sciences Pvt Ltd,152,797.6,1017.95,2023-11-26,2026-07-28
BAT00285,MED3172,Kaps Three Life Sciences Pvt Ltd,438,130.53,155.46,2023-11-21,2025-04-16
BAT00286,MED0677,Vibcare Pharma Pvt Ltd,378,27.37,34.91,2023-04-24,2025-12-13
BAT00287,MED4643,Floreat Medica Pvt Ltd,272,644.05,832.59,2023-09-24,2026-02-24
